,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,UTILIZATION_RATIO,PAYMENT_RATIO,CA_TO_PURCHASE_RATIO,AVG_PURCHASE_SIZE,INTEREST_EFFICIENCY,TRANS_PER_MONTH,CASH_ADV_PER_MONTH,PAYMENT_TO_MIN_RATIO,ONEOFF_TO_PURCHASE_RATIO,INSTALLMENT_TO_PURCHASE_RATIO,BALANCE_TO_PAYMENT_RATIO,PURCHASE_DIVERSITY,MONTHLY_SPEND_CONSISTENCY,DEBT_BURDEN_RATIO,CREDIT_UTILIZATION_TREND,CASH_VS_PURCHASE_PREFERENCE,PAYMENT_DISCIPLINE,cluster
0,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,139.509787,0.0,12,0.040900749,4.9327399016820745,0.0,47.462686567164184,0.30871440285012874,0.16666666666666666,0.0,1.446404759777909,0.0,0.9998951891835237,0.20266749239852258,0.0,7.94338051623647,0.20266749239852258,0.033464256618318,0.0,0.0,0.0
1,3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4,0,7000.0,4103.032597,1072.340217,0.222222,12,0.4574953451428571,1.2812057866515179,644294.5483,0.0,0.7386475544309344,0.0,0.3333333333333333,3.826205778629502,0.0,0.0,0.780510399365956,0.0,0.0,0.780510399365956,0.41590490081126513,644294.5483,0.16414373684075112,2.0
2,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.066742,627.284787,0.0,12,0.33268651493333334,0.24930947342622545,0.0,64.37718567860117,-0.008372029764778022,1.0,0.0,0.9916657286042454,0.9999870664010968,0.0,4.01099847259681,77317.0,64.37718567860117,4.01099847259681,0.33268651493333334,0.0,-0.0,2.0
3,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500.0,0.0,1215.9514528,0.0,12,0.22222273893333333,0.0,0.13728261786112167,1484.1584158415842,-121594.14528,0.08333333333333333,0.08333333333333333,0.0,0.9999933289304275,0.0,166667.0542,149900.0,124.81265611990008,166667.0542,0.14141455103857173,0.13728261786112167,-0.0,2.0
4,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.791237,0.0,12,0.6814286125,0.8295396553167272,0.0,15.841584158415841,0.6391344779940462,0.08333333333333333,0.0,2.7709613370948776,0.9993753903810118,0.0,1.205455366654021,1600.0,1.3322231473771857,1.205455366654021,0.6814286125,0.0,0.0,2.0
5,1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8,1800.0,1400.05777,2407.246035,0.0,12,1.0054604172222221,0.7735814968192157,0.0,166.45193508114858,-0.7193782233841439,0.6666666666666666,0.0,0.5815990279571569,0.0,0.999992499756242,1.2926722475727015,0.0,111.01415487094089,1.2926722475727015,1.0054604172222221,0.0,-0.0,1.0
6,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,13500.0,6354.314328,198.065894,1.0,12,0.046463763407407405,10.130097347460485,0.0,110.77972191845024,0.9688297474639069,5.333333333333333,0.0,32.08020016812344,0.9029208773914048,0.09707771237424234,0.09871400539566541,9.300875956943012,590.4254787676936,0.09871400539566541,0.046463763407407405,0.0,0.9688297474639069,1.0
7,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.065082,532.03399,0.0,12,0.7928924969565218,0.372363302703059,0.0,36.319733555370526,0.21653142030618633,1.0,0.0,1.2763325867096065,0.0,0.9999770752619151,2.685495008341361,0.0,36.319733555370526,2.685495008341361,0.7928924969565218,0.0,0.0,2.0
8,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,311.963409,0.0,12,0.14498949614285714,0.678149407682189,0.0,171.95409181636728,0.5467549171904886,0.4166666666666667,0.0,2.206209081107935,0.7678351712130006,0.2321532211259431,1.4745653497473172,3.307284635768212,71.73105745212324,1.4745653497473172,0.14498949614285714,0.0,0.0,1.0
9,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,11000.0,1164.770591,100.302262,0.0,12,0.013838725,7.651086354588657,0.0,425.78073089700996,0.9138874198497011,0.25,0.0,11.611447770961439,0.9999921973143155,0.0,0.13069068644877516,128159.99999999999,106.71107410491257,0.13069068644877516,0.007548401744875,0.0,0.0,3.0
